ID,total_read_counts_virema,total_read_counts_ditector,sample,start,end,DVG_type
10188_10225,1,1,P1,10188,10225,3cb/sb
10191_10222,1,2,P1,10191,10222,3cb/sb
10244_10249,1,0,P1,10244,10249,3cb/sb
10170_10284,0,1,P1,10170,10284,3cb/sb
10169_10285,3,2,P1,10169,10285,3cb/sb
10165_10293,0,1,P1,10165,10293,3cb/sb
10159_10299,0,2,P1,10159,10299,3cb/sb
10300_28900,0,1,P1,10300,28900,3cb/sb
10306_15309,0,1,P1,10306,15309,3cb/sb
10307_23906,1,1,P1,10307,23906,3cb/sb
10150_10308,0,3,P1,10150,10308,3cb/sb
10308_10380,0,1,P1,10308,10380,3cb/sb
10314_10374,0,2,P1,10314,10374,3cb/sb
10315_10359,0,1,P1,10315,10359,3cb/sb
10316_10358,0,1,P1,10316,10358,3cb/sb
10042_10324,0,1,P1,10042,10324,3cb/sb
10311_10363,2,0,P1,10311,10363,3cb/sb
10103_10381,0,1,P1,10103,10381,3cb/sb
10307_10381,2,0,P1,10307,10381,3cb/sb
10098_10386,0,2,P1,10098,10386,3cb/sb
994_1039,2,0,P1,994,1039,3cb/sb
10484_17749,0,1,P1,10484,17749,3cb/sb
10545_10587,0,3,P1,10545,10587,3cb/sb
1058_1068,1,1,P1,1058,1068,3cb/sb
10539_10593,2,0,P1,10539,10593,3cb/sb
10598_10608,1,3,P1,10598,10608,3cb/sb
10654_10888,1,0,P1,10654,10888,3cb/sb
10631_10672,0,1,P1,10631,10672,3cb/sb
1067_5373,0,1,P1,1067,5373,3cb/sb
10680_10709,0,2,P1,10680,10709,3cb/sb
10677_10712,2,0,P1,10677,10712,3cb/sb
10620_10723,0,1,P1,10620,10723,3cb/sb
1053_1073,1,0,P1,1053,1073,3cb/sb
1051_1075,0,1,P1,1051,1075,3cb/sb
10851_23940,0,1,P1,10851,23940,3cb/sb
10855_10866,1,0,P1,10855,10866,3cb/sb
10857_10864,0,1,P1,10857,10864,3cb/sb
10849_10872,0,2,P1,10849,10872,3cb/sb
10856_10882,0,1,P1,10856,10882,3cb/sb
10849_10889,0,1,P1,10849,10889,3cb/sb
10649_10893,0,1,P1,10649,10893,3cb/sb
10897_10922,0,1,P1,10897,10922,3cb/sb
10875_10902,0,1,P1,10875,10902,3cb/sb
10635_10908,0,1,P1,10635,10908,3cb/sb
10612_10930,0,1,P1,10612,10930,3cb/sb
10947_28901,0,1,P1,10947,28901,3cb/sb
10856_10956,0,1,P1,10856,10956,3cb/sb
10961_10987,0,1,P1,10961,10987,3cb/sb
10850_10962,0,1,P1,10850,10962,3cb/sb
10972_10977,0,1,P1,10972,10977,3cb/sb
8946_10979,0,1,P1,8946,10979,3cb/sb
10966_10983,1,0,P1,10966,10983,3cb/sb
11069_11117,0,2,P1,11069,11117,3cb/sb
11075_11111,0,1,P1,11075,11111,3cb/sb
11070_11116,1,0,P1,11070,11116,3cb/sb
11068_11118,2,0,P1,11068,11118,3cb/sb
11207_11245,1,1,P1,11207,11245,3cb/sb
11216_11230,2,2,P1,11216,11230,3cb/sb
11212_11240,0,1,P1,11212,11240,3cb/sb
11203_11249,2,2,P1,11203,11249,3cb/sb
11271_11409,3,2,P1,11271,11409,3cb/sb
11310_11362,2,2,P1,11310,11362,3cb/sb
11311_11361,0,1,P1,11311,11361,3cb/sb
11315_26011,0,1,P1,11315,26011,3cb/sb
11317_11355,2,0,P1,11317,11355,3cb/sb
11325_22522,0,1,P1,11325,22522,3cb/sb
11348_11382,0,1,P1,11348,11382,3cb/sb
1138_27512,0,2,P1,1138,27512,3cb/sb
11277_11403,0,2,P1,11277,11403,3cb/sb
11458_11495,0,1,P1,11458,11495,3cb/sb
1148_1160,0,1,P1,1148,1160,3cb/sb
11455_11498,1,0,P1,11455,11498,3cb/sb
11504_11615,0,1,P1,11504,11615,3cb/sb
11554_11607,0,1,P1,11554,11607,3cb/sb
11565_11579,3,2,P1,11565,11579,3cb/sb
11566_11578,0,2,P1,11566,11578,3cb/sb
11547_11614,1,0,P1,11547,11614,3cb/sb
2658_11820,0,1,P1,2658,11820,3cb/sb
11869_12011,1,1,P1,11869,12011,3cb/sb
11927_11978,0,1,P1,11927,11978,3cb/sb
1192_26718,0,1,P1,1192,26718,3cb/sb
11937_11965,0,2,P1,11937,11965,3cb/sb
11943_12013,0,2,P1,11943,12013,3cb/sb
1196_22115,0,1,P1,1196,22115,3cb/sb
11930_11972,2,0,P1,11930,11972,3cb/sb
11922_11983,1,0,P1,11922,11983,3cb/sb
11986_12101,1,0,P1,11986,12101,3cb/sb
11989_19413,0,1,P1,11989,19413,3cb/sb
11877_12006,1,1,P1,11877,12006,3cb/sb
11939_12017,2,0,P1,11939,12017,3cb/sb
12053_12139,0,3,P1,12053,12139,3cb/sb
11976_12111,0,1,P1,11976,12111,3cb/sb
11975_12112,0,1,P1,11975,12112,3cb/sb
12116_12181,3,1,P1,12116,12181,3cb/sb
12117_12180,0,2,P1,12117,12180,3cb/sb
12118_12179,0,1,P1,12118,12179,3cb/sb
12124_12173,1,0,P1,12124,12173,3cb/sb
12128_12148,0,2,P1,12128,12148,3cb/sb
12052_12140,3,0,P1,12052,12140,3cb/sb
12099_12140,0,1,P1,12099,12140,3cb/sb
12124_12152,2,0,P1,12124,12152,3cb/sb
12125_12172,1,0,P1,12125,12172,3cb/sb
12119_12178,0,1,P1,12119,12178,3cb/sb
12165_12179,0,2,P1,12165,12179,3cb/sb
9999_12201,0,2,P1,9999,12201,3cb/sb
8773_12202,1,1,P1,8773,12202,3cb/sb
12208_12363,1,1,P1,12208,12363,3cb/sb
12210_30538,0,1,P1,12210,30538,3cb/sb
12220_12258,0,1,P1,12220,12258,3cb/sb
12228_12361,0,2,P1,12228,12361,3cb/sb
12217_12261,1,0,P1,12217,12261,3cb/sb
12309_12498,2,0,P1,12309,12498,3cb/sb
12355_30624,0,1,P1,12355,30624,3cb/sb
12222_12367,1,0,P1,12222,12367,3cb/sb
12368_12381,1,1,P1,12368,12381,3cb/sb
12372_12483,5,5,P1,12372,12483,3cb/sb
12374_12481,1,1,P1,12374,12481,3cb/sb
12364_12385,1,0,P1,12364,12385,3cb/sb
1238_1290,0,3,P1,1238,1290,3cb/sb
1238_1306,1,0,P1,1238,1306,3cb/sb
12402_12429,0,1,P1,12402,12429,3cb/sb
12407_12424,0,1,P1,12407,12424,3cb/sb
1245_1270,2,0,P1,1245,1270,3cb/sb
12386_12469,0,2,P1,12386,12469,3cb/sb
1246_1282,3,7,P1,1246,1282,3cb/sb
12383_12472,0,1,P1,12383,12472,3cb/sb
12375_12480,1,1,P1,12375,12480,3cb/sb
12302_12505,0,2,P1,12302,12505,3cb/sb
1252_1263,0,1,P1,1252,1263,3cb/sb
12657_12671,0,2,P1,12657,12671,3cb/sb
12687_12732,0,2,P1,12687,12732,3cb/sb
12694_12726,5,3,P1,12694,12726,3cb/sb
12698_12722,0,1,P1,12698,12722,3cb/sb
12702_12718,6,8,P1,12702,12718,3cb/sb
1270_25220,0,1,P1,1270,25220,3cb/sb
1243_1272,0,2,P1,1243,1272,3cb/sb
12730_12752,0,1,P1,12730,12752,3cb/sb
12680_12737,0,1,P1,12680,12737,3cb/sb
12820_26424,0,1,P1,12820,26424,3cb/sb
12846_12874,1,0,P1,12846,12874,3cb/sb
12875_24268,0,1,P1,12875,24268,3cb/sb
12841_12879,0,1,P1,12841,12879,3cb/sb
1239_1289,5,0,P1,1239,1289,3cb/sb
1237_1291,3,1,P1,1237,1291,3cb/sb
645_1293,0,1,P1,645,1293,3cb/sb
8728_12994,0,1,P1,8728,12994,3cb/sb
13025_13192,1,0,P1,13025,13192,3cb/sb
1242_1302,0,1,P1,1242,1302,3cb/sb
12987_13033,0,1,P1,12987,13033,3cb/sb
13041_13063,1,2,P1,13041,13063,3cb/sb
13048_13056,0,1,P1,13048,13056,3cb/sb
13039_13065,2,0,P1,13039,13065,3cb/sb
13079_13117,0,1,P1,13079,13117,3cb/sb
1308_7995,0,9,P1,1308,7995,3cb/sb
13136_30534,0,1,P1,13136,30534,3cb/sb
13137_13178,0,1,P1,13137,13178,3cb/sb
13183_30021,0,1,P1,13183,30021,3cb/sb
13129_13186,1,0,P1,13129,13186,3cb/sb
13021_13196,1,2,P1,13021,13196,3cb/sb
13217_13242,0,1,P1,13217,13242,3cb/sb
13262_13319,2,1,P1,13262,13319,3cb/sb
13267_13314,0,1,P1,13267,13314,3cb/sb
13335_29456,0,1,P1,13335,29456,3cb/sb
13344_13375,1,0,P1,13344,13375,3cb/sb
730_13382,0,1,P1,730,13382,3cb/sb
728_13384,0,1,P1,728,13384,3cb/sb
13513_13538,0,2,P1,13513,13538,3cb/sb
5942_13521,0,1,P1,5942,13521,3cb/sb
13548_13759,0,2,P1,13548,13759,3cb/sb
13553_13755,0,1,P1,13553,13755,3cb/sb
13562_13746,1,1,P1,13562,13746,3cb/sb
13569_13619,0,1,P1,13569,13619,3cb/sb
1357_3654,0,1,P1,1357,3654,3cb/sb
1357_7638,0,1,P1,1357,7638,3cb/sb
13332_13582,0,2,P1,13332,13582,3cb/sb
1358_3655,0,1,P1,1358,3655,3cb/sb
13595_13651,0,2,P1,13595,13651,3cb/sb
1359_3654,0,370,P1,1359,3654,3cb/sb
13602_21848,0,1,P1,13602,21848,3cb/sb
1360_17393,0,234,P1,1360,17393,3cb/sb
13611_13638,0,1,P1,13611,13638,3cb/sb
13564_13624,1,0,P1,13564,13624,3cb/sb
1363_7409,0,2,P1,1363,7409,3cb/sb
13605_13644,1,0,P1,13605,13644,3cb/sb
13594_13652,2,0,P1,13594,13652,3cb/sb
1365_27581,0,6,P1,1365,27581,3cb/sb
1366_13134,0,1,P1,1366,13134,3cb/sb
1368_22321,0,1,P1,1368,22321,3cb/sb
1368_3407,0,82,P1,1368,3407,3cb/sb
1369_3406,0,52,P1,1369,3406,3cb/sb
13729_22895,1,1,P1,13729,22895,3cb/sb
1372_3403,0,5,P1,1372,3403,3cb/sb
3853_13731,0,1,P1,3853,13731,3cb/sb
13736_13842,0,1,P1,13736,13842,3cb/sb
13739_13839,1,2,P1,13739,13839,3cb/sb
13558_13750,0,1,P1,13558,13750,3cb/sb
13817_13942,4,2,P1,13817,13942,3cb/sb
13831_13896,1,0,P1,13831,13896,3cb/sb
13835_13892,0,1,P1,13835,13892,3cb/sb
13827_13934,0,2,P1,13827,13934,3cb/sb
13822_13939,2,0,P1,13822,13939,3cb/sb
13816_13943,0,1,P1,13816,13943,3cb/sb
13814_13945,0,1,P1,13814,13945,3cb/sb
13813_13946,0,1,P1,13813,13946,3cb/sb
13812_13947,0,3,P1,13812,13947,3cb/sb
139_358,3,0,P1,139,358,3cb/sb
13958_14040,1,1,P1,13958,14040,3cb/sb
13956_14045,0,1,P1,13956,14045,3cb/sb
13949_14052,2,1,P1,13949,14052,3cb/sb
14078_14244,0,1,P1,14078,14244,3cb/sb
14081_14163,0,1,P1,14081,14163,3cb/sb
14086_14159,1,0,P1,14086,14159,3cb/sb
14173_21730,0,1,P1,14173,21730,3cb/sb
14148_14252,1,1,P1,14148,14252,3cb/sb
14286_14288,1,0,P1,14286,14288,3cb/sb
1428_1456,0,2,P1,1428,1456,3cb/sb
14293_14354,1,1,P1,14293,14354,3cb/sb
14296_14351,1,1,P1,14296,14351,3cb/sb
14268_14305,0,1,P1,14268,14305,3cb/sb
14311_14336,0,1,P1,14311,14336,3cb/sb
14306_14341,1,0,P1,14306,14341,3cb/sb
14403_14404,0,1,P1,14403,14404,3cb/sb
14454_14480,0,1,P1,14454,14480,3cb/sb
14473_30280,0,1,P1,14473,30280,3cb/sb
14452_14482,1,0,P1,14452,14482,3cb/sb
14483_14534,1,1,P1,14483,14534,3cb/sb
14487_14530,1,1,P1,14487,14530,3cb/sb
14502_14983,1,1,P1,14502,14983,3cb/sb
14130_14570,0,1,P1,14130,14570,3cb/sb
14574_14584,1,0,P1,14574,14584,3cb/sb
14568_14590,0,1,P1,14568,14590,3cb/sb
1460_12135,0,2,P1,1460,12135,3cb/sb
1421_1463,1,0,P1,1421,1463,3cb/sb
14662_14663,0,1,P1,14662,14663,3cb/sb
14655_14670,1,0,P1,14655,14670,3cb/sb
14654_14677,0,1,P1,14654,14677,3cb/sb
146_19854,0,1,P1,146,19854,3cb/sb
14650_14705,1,1,P1,14650,14705,3cb/sb
1474_29920,0,1,P1,1474,29920,3cb/sb
14365_14768,0,1,P1,14365,14768,3cb/sb
14851_30338,1,1,P1,14851,30338,3cb/sb
148_349,6,3,P1,148,349,3cb/sb
14880_14901,1,1,P1,14880,14901,3cb/sb
14910_24303,0,1,P1,14910,24303,3cb/sb
14935_15010,1,1,P1,14935,15010,3cb/sb
14947_14992,0,3,P1,14947,14992,3cb/sb
14948_14991,0,1,P1,14948,14991,3cb/sb
14953_14986,1,0,P1,14953,14986,3cb/sb
14959_14980,1,0,P1,14959,14980,3cb/sb
14722_14979,0,2,P1,14722,14979,3cb/sb
14958_14981,0,1,P1,14958,14981,3cb/sb
14943_14996,3,1,P1,14943,14996,3cb/sb
14930_15015,1,0,P1,14930,15015,3cb/sb
15015_15026,0,1,P1,15015,15026,3cb/sb
15143_15187,0,1,P1,15143,15187,3cb/sb
15161_28841,0,3,P1,15161,28841,3cb/sb
15145_15185,1,0,P1,15145,15185,3cb/sb
1521_1538,0,2,P1,1521,1538,3cb/sb
15224_15283,2,4,P1,15224,15283,3cb/sb
15240_15267,0,1,P1,15240,15267,3cb/sb
15281_19964,1,1,P1,15281,19964,3cb/sb
11717_15287,0,2,P1,11717,15287,3cb/sb
15219_15288,2,0,P1,15219,15288,3cb/sb
15302_30033,1,1,P1,15302,30033,3cb/sb
15341_15360,0,2,P1,15341,15360,3cb/sb
1539_4408,0,1,P1,1539,4408,3cb/sb
15448_15467,0,1,P1,15448,15467,3cb/sb
15522_15597,0,1,P1,15522,15597,3cb/sb
15529_15590,1,1,P1,15529,15590,3cb/sb
15550_15568,4,3,P1,15550,15568,3cb/sb
15556_15562,0,4,P1,15556,15562,3cb/sb
15552_15566,0,1,P1,15552,15566,3cb/sb
15546_15572,1,0,P1,15546,15572,3cb/sb
15586_15746,1,2,P1,15586,15746,3cb/sb
1558_1790,0,1,P1,1558,1790,3cb/sb
15592_15740,4,2,P1,15592,15740,3cb/sb
15525_15594,1,0,P1,15525,15594,3cb/sb
1565_1783,1,0,P1,1565,1783,3cb/sb
15708_21234,0,1,P1,15708,21234,3cb/sb
15727_15935,2,2,P1,15727,15935,3cb/sb
15738_15919,0,1,P1,15738,15919,3cb/sb
15588_15744,0,1,P1,15588,15744,3cb/sb
15745_15912,1,0,P1,15745,15912,3cb/sb
15795_15814,0,2,P1,15795,15814,3cb/sb
15796_15819,0,1,P1,15796,15819,3cb/sb
15799_15810,0,2,P1,15799,15810,3cb/sb
15827_15934,0,1,P1,15827,15934,3cb/sb
15830_15931,1,0,P1,15830,15931,3cb/sb
15899_29459,0,1,P1,15899,29459,3cb/sb
15921_15939,2,1,P1,15921,15939,3cb/sb
15825_15936,1,1,P1,15825,15936,3cb/sb
15916_15944,0,2,P1,15916,15944,3cb/sb
16018_16079,3,2,P1,16018,16079,3cb/sb
15552_16071,0,1,P1,15552,16071,3cb/sb
16083_16121,1,1,P1,16083,16121,3cb/sb
16086_16118,0,1,P1,16086,16118,3cb/sb
16088_16116,0,1,P1,16088,16116,3cb/sb
16078_16126,1,0,P1,16078,16126,3cb/sb
16128_16276,0,1,P1,16128,16276,3cb/sb
16135_16269,0,1,P1,16135,16269,3cb/sb
16149_16179,0,1,P1,16149,16179,3cb/sb
5734_16151,0,1,P1,5734,16151,3cb/sb
16154_16171,0,2,P1,16154,16171,3cb/sb
16191_16209,0,2,P1,16191,16209,3cb/sb
16137_16267,0,1,P1,16137,16267,3cb/sb
1049_1631,0,1,P1,1049,1631,3cb/sb
16330_19737,0,1,P1,16330,19737,3cb/sb
16337_21053,0,1,P1,16337,21053,3cb/sb
16366_16441,1,1,P1,16366,16441,3cb/sb
16370_16437,0,1,P1,16370,16437,3cb/sb
16373_16573,0,1,P1,16373,16573,3cb/sb
16067_16381,0,1,P1,16067,16381,3cb/sb
16384_16562,0,2,P1,16384,16562,3cb/sb
16461_16498,1,1,P1,16461,16498,3cb/sb
16478_30730,0,1,P1,16478,30730,3cb/sb
16479_19565,0,1,P1,16479,19565,3cb/sb
16481_16804,0,1,P1,16481,16804,3cb/sb
16557_16564,1,0,P1,16557,16564,3cb/sb
16558_16596,7,2,P1,16558,16596,3cb/sb
16559_16595,0,1,P1,16559,16595,3cb/sb
16562_16592,0,3,P1,16562,16592,3cb/sb
16381_16565,0,1,P1,16381,16565,3cb/sb
16565_16589,0,4,P1,16565,16589,3cb/sb
16376_16570,0,1,P1,16376,16570,3cb/sb
16571_16737,0,1,P1,16571,16737,3cb/sb
16572_16582,0,1,P1,16572,16582,3cb/sb
16581_16728,1,0,P1,16581,16728,3cb/sb
165_19737,0,2,P1,165,19737,3cb/sb
16646_16673,0,1,P1,16646,16673,3cb/sb
16740_16805,2,1,P1,16740,16805,3cb/sb
16743_16802,0,1,P1,16743,16802,3cb/sb
16743_25849,0,1,P1,16743,25849,3cb/sb
16746_16799,0,2,P1,16746,16799,3cb/sb
16750_16793,0,1,P1,16750,16793,3cb/sb
16748_16795,1,0,P1,16748,16795,3cb/sb
16803_16830,0,2,P1,16803,16830,3cb/sb
16477_16808,1,0,P1,16477,16808,3cb/sb
16810_16823,0,1,P1,16810,16823,3cb/sb
16810_17004,0,1,P1,16810,17004,3cb/sb
16805_16828,1,0,P1,16805,16828,3cb/sb
16874_26390,0,1,P1,16874,26390,3cb/sb
16814_16887,1,0,P1,16814,16887,3cb/sb
16925_17114,0,2,P1,16925,17114,3cb/sb
17059_17138,0,3,P1,17059,17138,3cb/sb
17066_17131,1,0,P1,17066,17131,3cb/sb
1711_1748,0,4,P1,1711,1748,3cb/sb
17057_17140,1,0,P1,17057,17140,3cb/sb
17231_17268,0,2,P1,17231,17268,3cb/sb
17231_17271,0,1,P1,17231,17271,3cb/sb
17294_17315,0,1,P1,17294,17315,3cb/sb
17306_17325,0,1,P1,17306,17325,3cb/sb
17298_17333,1,0,P1,17298,17333,3cb/sb
17369_17390,0,1,P1,17369,17390,3cb/sb
17391_22101,0,1,P1,17391,22101,3cb/sb
17392_28199,0,1,P1,17392,28199,3cb/sb
17290_17465,0,1,P1,17290,17465,3cb/sb
1708_1751,2,0,P1,1708,1751,3cb/sb
17555_17574,4,1,P1,17555,17574,3cb/sb
17560_17569,0,3,P1,17560,17569,3cb/sb
17561_17568,0,1,P1,17561,17568,3cb/sb
17565_30142,0,1,P1,17565,30142,3cb/sb
17606_17615,0,1,P1,17606,17615,3cb/sb
17607_17614,0,1,P1,17607,17614,3cb/sb
17610_17611,0,1,P1,17610,17611,3cb/sb
17603_17618,0,1,P1,17603,17618,3cb/sb
1764_1825,0,1,P1,1764,1825,3cb/sb
17540_17653,1,1,P1,17540,17653,3cb/sb
17700_17740,0,1,P1,17700,17740,3cb/sb
17723_17769,0,2,P1,17723,17769,3cb/sb
17728_17765,2,2,P1,17728,17765,3cb/sb
17729_17764,1,1,P1,17729,17764,3cb/sb
17734_17759,0,1,P1,17734,17759,3cb/sb
17738_17755,0,2,P1,17738,17755,3cb/sb
1773_1816,0,2,P1,1773,1816,3cb/sb
17694_17746,1,0,P1,17694,17746,3cb/sb
355_17750,0,1,P1,355,17750,3cb/sb
17733_17760,2,0,P1,17733,17760,3cb/sb
17727_17766,2,0,P1,17727,17766,3cb/sb
1316_17847,2,0,P1,1316,17847,3cb/sb
17856_17909,0,1,P1,17856,17909,3cb/sb
13524_17857,0,1,P1,13524,17857,3cb/sb
1785_2469,0,1,P1,1785,2469,3cb/sb
17864_17901,0,1,P1,17864,17901,3cb/sb
6619_17868,0,1,P1,6619,17868,3cb/sb
17853_17912,2,0,P1,17853,17912,3cb/sb
17930_17970,0,2,P1,17930,17970,3cb/sb
17936_17964,2,0,P1,17936,17964,3cb/sb
16418_17937,0,1,P1,16418,17937,3cb/sb
17940_17960,0,2,P1,17940,17960,3cb/sb
17945_30327,0,2,P1,17945,30327,3cb/sb
17942_17958,0,2,P1,17942,17958,3cb/sb
17937_17963,4,0,P1,17937,17963,3cb/sb
17979_18049,0,1,P1,17979,18049,3cb/sb
17981_29406,0,1,P1,17981,29406,3cb/sb
16325_18068,2,2,P1,16325,18068,3cb/sb
18068_27453,1,1,P1,18068,27453,3cb/sb
18113_18139,0,1,P1,18113,18139,3cb/sb
2571_18125,0,1,P1,2571,18125,3cb/sb
18121_18131,0,1,P1,18121,18131,3cb/sb
11869_18134,0,1,P1,11869,18134,3cb/sb
18200_25972,1,1,P1,18200,25972,3cb/sb
18211_18213,0,2,P1,18211,18213,3cb/sb
1768_1821,3,0,P1,1768,1821,3cb/sb
18237_18331,0,1,P1,18237,18331,3cb/sb
9985_18268,0,2,P1,9985,18268,3cb/sb
2179_18330,0,1,P1,2179,18330,3cb/sb
18234_18334,1,0,P1,18234,18334,3cb/sb
18336_30461,0,1,P1,18336,30461,3cb/sb
8529_18338,0,1,P1,8529,18338,3cb/sb
18396_18453,0,1,P1,18396,18453,3cb/sb
18397_29920,0,3,P1,18397,29920,3cb/sb
18401_18448,0,1,P1,18401,18448,3cb/sb
18398_18451,1,0,P1,18398,18451,3cb/sb
280_18464,0,1,P1,280,18464,3cb/sb
18464_29867,0,1,P1,18464,29867,3cb/sb
15032_18467,3,3,P1,15032,18467,3cb/sb
18487_18508,0,2,P1,18487,18508,3cb/sb
1746_18492,0,1,P1,1746,18492,3cb/sb
722_18493,0,2,P1,722,18493,3cb/sb
18523_18551,0,1,P1,18523,18551,3cb/sb
18525_18549,0,1,P1,18525,18549,3cb/sb
18539_18547,0,1,P1,18539,18547,3cb/sb
18534_18552,1,0,P1,18534,18552,3cb/sb
18554_25972,1,1,P1,18554,25972,3cb/sb
18555_25971,0,1,P1,18555,25971,3cb/sb
1052_18560,0,1,P1,1052,18560,3cb/sb
18561_27514,0,1,P1,18561,27514,3cb/sb
7118_18608,0,1,P1,7118,18608,3cb/sb
1869_22493,0,1,P1,1869,22493,3cb/sb
1870_6970,0,1,P1,1870,6970,3cb/sb
18749_27411,0,1,P1,18749,27411,3cb/sb
18663_18759,2,2,P1,18663,18759,3cb/sb
10880_18788,1,1,P1,10880,18788,3cb/sb
18774_18815,0,1,P1,18774,18815,3cb/sb
18895_18922,0,2,P1,18895,18922,3cb/sb
18898_18919,2,0,P1,18898,18919,3cb/sb
18942_19011,0,1,P1,18942,19011,3cb/sb
18944_19010,0,1,P1,18944,19010,3cb/sb
18950_19003,0,1,P1,18950,19003,3cb/sb
18950_28910,1,1,P1,18950,28910,3cb/sb
4408_18954,0,1,P1,4408,18954,3cb/sb
5868_18973,0,1,P1,5868,18973,3cb/sb
18996_29933,2,2,P1,18996,29933,3cb/sb
18946_19007,2,0,P1,18946,19007,3cb/sb
19011_29445,0,1,P1,19011,29445,3cb/sb
18941_19013,1,0,P1,18941,19013,3cb/sb
19047_19073,0,1,P1,19047,19073,3cb/sb
7329_19053,0,1,P1,7329,19053,3cb/sb
19042_19078,1,0,P1,19042,19078,3cb/sb
19086_19108,1,1,P1,19086,19108,3cb/sb
19089_19105,0,2,P1,19089,19105,3cb/sb
19095_19241,1,1,P1,19095,19241,3cb/sb
19091_19103,1,0,P1,19091,19103,3cb/sb
19119_19186,0,2,P1,19119,19186,3cb/sb
19123_19183,1,0,P1,19123,19183,3cb/sb
19126_19167,0,1,P1,19126,19167,3cb/sb
13842_19146,0,1,P1,13842,19146,3cb/sb
19168_19325,1,0,P1,19168,19325,3cb/sb
19120_19186,1,1,P1,19120,19186,3cb/sb
10904_19201,0,1,P1,10904,19201,3cb/sb
19205_19264,0,1,P1,19205,19264,3cb/sb
15216_19206,0,1,P1,15216,19206,3cb/sb
19212_21949,0,1,P1,19212,21949,3cb/sb
19217_19253,1,0,P1,19217,19253,3cb/sb
19228_19253,1,2,P1,19228,19253,3cb/sb
19226_19255,2,1,P1,19226,19255,3cb/sb
19300_25971,0,2,P1,19300,25971,3cb/sb
6832_19308,0,1,P1,6832,19308,3cb/sb
7523_19314,0,1,P1,7523,19314,3cb/sb
19158_19333,0,1,P1,19158,19333,3cb/sb
19340_19406,11,2,P1,19340,19406,3cb/sb
19342_19404,0,1,P1,19342,19404,3cb/sb
19344_19402,0,1,P1,19344,19402,3cb/sb
19346_19400,0,5,P1,19346,19400,3cb/sb
19347_19399,0,3,P1,19347,19399,3cb/sb
19352_19394,1,0,P1,19352,19394,3cb/sb
19380_19639,0,1,P1,19380,19639,3cb/sb
19124_19398,0,1,P1,19124,19398,3cb/sb
5039_19433,0,2,P1,5039,19433,3cb/sb
19436_19466,1,0,P1,19436,19466,3cb/sb
12136_19451,0,1,P1,12136,19451,3cb/sb
19452_19480,0,1,P1,19452,19480,3cb/sb
19439_19463,0,1,P1,19439,19463,3cb/sb
19477_20768,0,3,P1,19477,20768,3cb/sb
19450_19482,1,0,P1,19450,19482,3cb/sb
19496_19565,0,1,P1,19496,19565,3cb/sb
19507_19553,0,1,P1,19507,19553,3cb/sb
10152_19508,0,1,P1,10152,19508,3cb/sb
19510_19549,0,1,P1,19510,19549,3cb/sb
19514_19545,1,0,P1,19514,19545,3cb/sb
19529_20193,0,1,P1,19529,20193,3cb/sb
19536_19540,0,1,P1,19536,19540,3cb/sb
19518_19541,0,1,P1,19518,19541,3cb/sb
19443_19548,0,2,P1,19443,19548,3cb/sb
19548_19604,0,3,P1,19548,19604,3cb/sb
19433_19551,4,4,P1,19433,19551,3cb/sb
19488_19554,0,3,P1,19488,19554,3cb/sb
19433_19558,2,0,P1,19433,19558,3cb/sb
19492_19569,1,0,P1,19492,19569,3cb/sb
19584_30743,0,1,P1,19584,30743,3cb/sb
19545_19607,3,0,P1,19545,19607,3cb/sb
19649_19687,0,1,P1,19649,19687,3cb/sb
15313_19658,0,1,P1,15313,19658,3cb/sb
19662_29276,0,1,P1,19662,29276,3cb/sb
19663_19963,2,2,P1,19663,19963,3cb/sb
3685_19670,0,1,P1,3685,19670,3cb/sb
19694_19724,0,1,P1,19694,19724,3cb/sb
19703_19716,0,1,P1,19703,19716,3cb/sb
1842_19754,0,1,P1,1842,19754,3cb/sb
19793_19910,0,1,P1,19793,19910,3cb/sb
19794_19909,0,1,P1,19794,19909,3cb/sb
19805_19906,0,1,P1,19805,19906,3cb/sb
19821_19889,0,1,P1,19821,19889,3cb/sb
19829_19881,1,1,P1,19829,19881,3cb/sb
19835_19875,0,1,P1,19835,19875,3cb/sb
19823_19887,2,0,P1,19823,19887,3cb/sb
19888_29105,0,1,P1,19888,29105,3cb/sb
1664_19895,0,1,P1,1664,19895,3cb/sb
13462_19907,0,1,P1,13462,19907,3cb/sb
19803_19908,1,1,P1,19803,19908,3cb/sb
19916_19954,0,1,P1,19916,19954,3cb/sb
19918_19952,0,1,P1,19918,19952,3cb/sb
19666_19960,0,2,P1,19666,19960,3cb/sb
9763_19962,0,1,P1,9763,19962,3cb/sb
17882_19963,0,1,P1,17882,19963,3cb/sb
19963_27650,0,1,P1,19963,27650,3cb/sb
19967_27302,0,2,P1,19967,27302,3cb/sb
19968_20212,1,0,P1,19968,20212,3cb/sb
19987_20146,1,1,P1,19987,20146,3cb/sb
19990_20143,2,3,P1,19990,20143,3cb/sb
19997_20127,1,1,P1,19997,20127,3cb/sb
20000_25390,0,3,P1,20000,25390,3cb/sb
20001_20132,4,1,P1,20001,20132,3cb/sb
15497_20027,0,1,P1,15497,20027,3cb/sb
20033_26603,3,3,P1,20033,26603,3cb/sb
929_20057,2,2,P1,929,20057,3cb/sb
20105_20139,0,1,P1,20105,20139,3cb/sb
20106_20129,0,1,P1,20106,20129,3cb/sb
